num_bedrooms,num_bathrooms,square_footage,lot_size,age_of_house,proximity_to_city_center,neighborhood_quality,house_price
4,2,855,5089,13,8,9,490699.5962235422
5,3,3424,2865,40,15,2,521249.9316918761
3,2,3115,6600,1,18,3,555975.1110812628
5,2,2916,7055,18,7,5,596433.3828856441
5,3,2551,1004,79,19,10,511950.6382336358
2,1,2847,8959,88,9,4,423173.0024429471
3,1,1701,2168,0,11,5,486456.232304856
3,1,2424,3398,1,10,6,486780.7970766326
3,1,1056,3630,26,14,5,352719.61829526187
5,3,1471,7608,1,16,10,544320.1662302098
4,3,1289,1347,93,8,1,415318.65553757316
3,3,2896,6861,50,1,6,544430.3253384741
5,2,2482,4342,9,12,9,597437.1015871108
2,3,1115,7500,18,3,3,420817.8791989258
4,1,3260,3574,79,2,2,458513.1020510424
2,2,1233,4825,12,16,6,386815.6161726579
4,1,1825,5593,47,4,3,437584.333341471
5,1,2775,6272,55,2,4,535275.2893644172
1,3,2779,9244,71,12,6,485834.6274354351
4,3,2189,1148,55,17,6,473516.4026043101
2,1,1219,9694,49,10,2,364318.73798884975
5,1,2396,1869,94,8,3,462023.48907123134
4,2,2384,4521,44,18,9,496241.4769230244
1,3,1643,4871,88,18,2,267770.0410155594
1,2,2267,2300,58,18,3,328473.3652965279
3,2,1233,8595,38,2,9,513646.26924831234
3,2,3490,5833,20,12,4,517778.86457086727
2,1,2378,7670,54,10,1,381156.1957616715
4,2,2904,3451,56,8,2,471894.7573325927
4,2,1763,5385,40,19,3,405018.551733979
3,1,1776,9530,92,10,9,417007.9131370666
4,3,845,3824,69,11,9,418000.18518485554
4,3,1993,7854,81,14,6,403433.04467219574
1,2,1216,6964,48,15,6,315215.41875150753
3,1,1647,1986,43,10,3,430410.6166146575
5,3,2986,9171,34,4,5,625070.9554490818
3,2,1046,4490,90,7,4,380169.2040224101
5,2,1029,9076,4,11,10,506566.87142266607
1,1,1591,4767,70,3,10,383643.8483008918
2,2,1436,3006,73,5,9,388955.75956594123
4,3,3221,8925,73,2,9,619767.4997478222
1,1,1537,4107,50,12,1,349719.88701338106
4,3,1888,5468,56,5,8,551309.9735806979
2,3,887,4330,57,7,9,467730.31333195214
2,3,1512,9722,91,4,5,407405.0818078584
1,2,2549,1923,35,11,4,437340.7343463768
2,2,2027,7247,9,9,10,570922.4176670723
5,3,2736,9432,49,4,4,593361.7733397385
2,3,2205,2896,98,9,2,352456.38221931586
4,1,1400,8883,98,12,9,385703.7265752462
4,1,2299,4324,36,16,5,444195.49353557575
4,2,3386,1813,19,1,3,592786.4168800198
4,2,1013,5750,12,8,6,536673.8404337288
5,1,2921,8618,74,1,9,570529.6506475979
3,3,2908,1782,18,19,9,529237.5473424244
1,2,1497,5055,91,4,5,303657.2969652596
4,3,2042,8789,55,14,8,502797.9292790358
2,1,2859,9199,44,14,4,434331.88393530046
4,2,2879,4139,59,9,5,525181.578817214
2,2,1983,6007,67,9,7,439896.57699104806
2,1,1800,5051,56,17,7,374088.10082217114
4,2,1036,8575,53,15,7,444035.54850240605
5,1,2004,9709,36,10,8,544470.4782250666
2,2,3405,4190,82,17,5,389623.3423502757
2,1,2281,6637,36,9,1,346669.5759079986
4,2,1903,1578,13,4,9,553216.8044565696
2,3,1446,9138,94,14,9,392348.61417341925
2,3,1272,5482,91,3,7,445394.294929387
4,3,911,2865,99,12,6,382629.9581210953
4,2,2645,6489,43,1,5,558802.7741445827
1,2,2454,2376,82,1,5,422466.1781710445
5,3,1182,6408,41,13,3,455573.7003137199
5,3,816,9163,0,14,10,578552.5499736734
2,1,1292,6058,22,16,1,370257.34045959695
5,1,2696,7283,63,7,6,593418.6378552675
2,1,2309,2976,27,10,8,459804.01568111224
1,3,916,7443,3,15,2,358551.3091173862
4,3,2378,5759,40,8,8,605648.4030093371
4,3,1679,8595,59,11,8,501985.9494275932
4,1,2962,5920,17,14,10,585839.8035481045
5,2,2618,2887,62,13,8,504181.99675785436
1,3,2372,1991,60,13,10,431802.02129312506
5,2,2448,6228,48,9,3,546986.8654161327
5,2,1443,9046,46,17,10,490333.10915530944
1,2,2159,7450,38,18,8,399098.72053175804
1,1,1135,4604,88,19,4,188206.758859947
1,2,946,2083,81,13,3,307693.20736274094
1,3,921,9626,5,12,9,471503.70174542256
4,1,880,1020,82,8,8,399762.4891538187
3,3,3222,2099,52,11,10,573084.8218020583
3,3,2910,7841,75,7,2,488920.4526735842
1,1,1303,3637,24,1,8,461668.7938257696
3,3,1467,9581,98,10,3,371122.9989407157
3,3,3296,8744,64,15,10,570338.6904982058
1,1,2244,4413,4,4,6,488374.41247130436
3,3,2145,8457,64,1,5,544004.1492619114
5,2,1989,2354,7,11,8,508027.72790420754
2,3,2420,7402,38,5,9,525224.1380433714
2,2,2780,5521,42,19,7,413083.7344674524
1,3,2472,6125,81,19,6,369714.7071392671
4,1,3308,1005,72,4,6,476014.2445121432
1,1,1258,9382,4,2,1,335905.4277263599
4,3,2012,9339,3,7,5,624869.3747969065
2,1,1263,5353,92,13,8,347651.2347065835
1,3,1711,4550,0,12,6,442225.2310799703
5,1,3226,9031,93,2,1,524484.8161959746
3,2,1825,5105,55,9,5,440223.5230937295
4,3,3211,6083,44,16,5,559732.7664137882
3,2,871,9816,64,8,3,363186.89519840054
3,2,2250,3175,2,18,8,494690.37065183924
1,3,3485,9737,21,4,9,598146.5316984429
3,2,1993,6224,71,11,6,406150.55103854154
5,3,2648,2195,55,17,6,550909.5764765763
3,2,3184,3069,17,8,2,500265.0815024648
1,3,2822,4358,24,19,10,500609.5417452225
5,3,3042,3438,47,8,2,558286.818159287
2,1,1811,9808,83,6,6,437813.6208102264
3,3,1452,5244,30,2,8,502297.52278696187
1,3,2098,4343,29,15,2,346810.02996223874
2,2,806,2811,79,1,9,382090.61022489227
2,3,1704,1171,65,6,9,457045.38876285934
4,1,2828,5142,80,19,4,450362.70989445515
5,2,3413,1625,9,4,4,666352.3404541312
3,2,1415,6906,70,13,4,318718.784989039
1,1,2673,8983,58,15,5,383841.67903056345
4,2,3420,5063,50,9,8,500865.15973712446
5,2,3446,9644,8,3,2,658107.7948446259
4,2,1569,9142,53,2,5,530830.2353723801
5,2,3089,1753,61,16,2,477702.89313269535
5,1,2366,7851,80,18,8,473952.53943736886
3,1,2285,6104,8,18,1,406402.97232350596
5,2,2240,8343,8,6,7,589417.9520314689
4,2,1565,7926,23,18,3,439820.644633037
5,1,1183,7827,38,11,4,443845.7999586686
3,1,3238,9359,74,7,8,544234.2927322405
3,1,1487,4685,7,14,3,398564.3266370192
4,2,1949,9277,24,18,7,469755.4223377935
2,2,846,2982,65,7,1,272849.38322836225
2,3,2772,5944,9,10,9,510830.3793736072
5,1,3466,8892,23,8,6,649788.7335988609
1,2,1263,9191,79,14,3,280278.2661785245
5,1,2672,9633,82,18,7,488963.3547520412
4,2,922,9462,58,5,5,496066.747293613
4,1,2981,1343,30,14,8,509008.89171755273
4,2,2442,4081,10,10,8,548656.0628904712
4,3,1640,7637,5,15,9,541606.956191117
4,3,2385,3291,69,6,6,520858.8175104998
3,1,3454,2532,31,9,4,551484.7837563962
2,2,2603,5362,38,10,2,467381.51485235285
4,2,822,2653,47,17,3,372580.8853976687
1,1,1365,5988,12,1,5,455449.3442249217
1,2,2709,7344,58,14,8,425026.5246858036
1,1,1764,9430,66,4,10,437969.11417971196
1,2,3082,2438,55,2,2,428876.15888653265
3,1,1795,4016,40,3,5,424538.790435509
1,2,1987,9166,55,7,9,476944.8685448399
4,1,2594,7389,34,14,2,471159.46834974654
5,2,1625,6977,37,12,8,525632.8368355916
1,3,1015,4079,80,19,3,257925.3037671956
3,2,1456,7295,66,18,8,361029.62822733726
3,1,1913,3258,33,15,4,372987.1166711821
1,3,2787,9558,75,1,4,476427.8292528506
5,2,1110,3991,87,3,7,462245.18331813737
1,3,1356,4741,69,15,5,322580.17396956275
3,2,3104,1085,10,4,4,545838.5983805225
2,3,3380,3493,26,15,7,501417.2807745722
4,1,2356,7447,47,10,3,438943.04199939873
3,2,851,9323,23,6,9,447210.05922686565
1,2,2161,8588,17,13,5,418151.0430247115
4,1,1994,1903,26,7,3,479874.2136902571
1,3,2448,6083,53,1,2,401558.14644450124
1,1,3147,7190,54,11,7,439318.80437250435
2,1,1471,3804,20,14,7,401990.58131728903
4,3,1577,2226,58,6,5,452788.4899067714
4,1,1631,2284,33,5,4,495955.5452887022
2,2,3079,1689,96,19,2,328374.1157740398
3,2,2660,6143,57,19,2,396897.50778858725
1,2,2329,5782,47,13,7,407764.26248505054
5,1,2875,5881,53,7,10,549123.6394352237
1,2,2772,5507,17,8,7,513339.8017921011
